@relation 'AirQualityUCI_Weka-weka.filters.unsupervised.attribute.Add-NTEST-Clast-W1.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3,5,7,9-11,13'

@attribute DateTime date 'yyyy-MM-dd HH:mm:ss'
@attribute CO(GT) numeric
@attribute C6H6(GT) numeric
@attribute NOx(GT) numeric
@attribute NO2(GT) numeric
@attribute RH numeric

@data
'2004-03-10 18:00:00',2.6,11.9,166,113,48.9
'2004-03-10 19:00:00',2,9.4,103,92,47.7
'2004-03-10 20:00:00',2.2,9,131,114,54
'2004-03-10 21:00:00',2.2,9.2,172,122,60
'2004-03-10 22:00:00',1.6,6.5,131,116,59.6
'2004-03-10 23:00:00',1.2,4.7,89,96,59.2
'2004-03-11 00:00:00',1.2,3.6,62,77,56.8
'2004-03-11 01:00:00',1,3.3,62,76,60
'2004-03-11 02:00:00',0.9,2.3,45,60,59.7
'2004-03-11 03:00:00',0.6,1.7,246.896735,113.091251,60.2
'2004-03-11 04:00:00',2.15275,1.3,21,34,60.5
'2004-03-11 05:00:00',0.7,1.1,16,28,56.2
'2004-03-11 06:00:00',0.7,1.6,34,48,58.1
'2004-03-11 07:00:00',1.1,3.2,98,82,59.6
'2004-03-11 08:00:00',2,8,174,112,57.4
'2004-03-11 09:00:00',2.2,9.5,129,101,60.6
'2004-03-11 10:00:00',1.7,6.3,112,98,58.4
'2004-03-11 11:00:00',1.5,5,95,92,57.9
'2004-03-11 12:00:00',1.6,5.2,104,95,66.8
'2004-03-11 13:00:00',1.9,7.3,146,112,76.4
'2004-03-11 14:00:00',2.9,11.5,207,128,81.1
'2004-03-11 15:00:00',2.2,8.8,184,126,79.8
'2004-03-11 16:00:00',2.2,8.3,193,131,71.2
'2004-03-11 17:00:00',2.9,11.2,243,135,67.6
'2004-03-11 18:00:00',4.8,20.8,281,151,64.2
'2004-03-11 19:00:00',6.9,27.4,383,172,69.3
'2004-03-11 20:00:00',6.1,24,351,165,67.8
'2004-03-11 21:00:00',3.9,12.8,240,136,64
'2004-03-11 22:00:00',1.5,4.7,94,85,63.4
